id,Subject,Department,Session,Start,Finish,Venue,pub,created,edited
,Media taster session,Media Arts & Comms,Taster Session,11:00,12:00,Room 9235 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Physics course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3114 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Physics facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Physics networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Public Relations course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 9228 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Public Relations facilities tour,Media Arts & Comms,Tour,12:15,12:30,Room 9228 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Public Relations networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Public Relations taster session,Media Arts & Comms,Taster Session,11:30,12:15,Room 9228 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Railway Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3106 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Railway Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Railway Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Software Engineering and Computer Science course talk,Computing,Subject Talk,11:00,12:00,Room 9002 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Software Engineering and Computer Science facilities tour,Computing,Tour,12:00,13:00,Start in Room 9310 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Software Engineering and Computer Science networking session and refreshments,Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
